Temperature (?),Humidity (%),MQ135 (ppm),Result
34,60,401,Spoiled
35,61,489,Spoiled
42,62,467,Spoiled
36,61,431,Spoiled
37,70,489,Spoiled
30,59,450,Fresh
31,60,350,Fresh
34,70,433,Spoiled
34,65,487,Spoiled
45,63,430,Spoiled
27,59,341,Fresh
49,41,489,Spoiled
45,60,500,Spoiled
34,60,510,Spoiled
43,67,625,Spoiled
35,78,456,Spoiled
33,65,481,Spoiled
33,60,432,Spoiled
37,62,458,Spoiled
30,59,307,Fresh
39,60,421,Spoiled
40,65,450,Spoiled
30,60,376,Fresh
31,67,412,Spoiled
33,65,435,Spoiled
32,63,455,Spoiled
33,62,432,Spoiled
35,62,490,Spoiled
37,61,534,Spoiled
30,56,333,Fresh
30,59,543,Spoiled
33,67,498,Fresh
30,59,356,Fresh
30,60,420,Spoiled
31,61,505,Spoiled
34,68,516,Spoiled
32,59,377,Fresh
29,60,508,Spoiled
40,60,407,Spoiled
30,61,321,Fresh
47,60,456,Spoiled
31,60,302,Fresh
39,59,431,Spoiled
31,56,422,Spoiled
36,58,484,Spoiled
35,78,444,Spoiled
30,60,346,Fresh
30,93,490,Spoiled
31,60,423,Spoiled
32,59,567,Spoiled
33,77,523,Spoiled
37,68,555,Spoiled
32,60,431,Spoiled
30,65,489,Spoiled
31,61,456,Spoiled
30,60,345,Fresh
38,60,433,Spoiled
33,60,481,Spoiled
31,60,423,Spoiled
30,59,456,Spoiled
30,59,412,Spoiled
29,60,345,Fresh
33,56,416,Spoiled
30,60,378,Fresh
31,61,451,Spoiled
30,62,370,Fresh
31,63,433,Spoiled
33,60,418,Spoiled
32,60,390,Fresh
32,60,321,Fresh
31,62,444,Spoiled
33,62,578,Spoiled
30,63,541,Spoiled
34,61,432,Spoiled
35,61,312,Fresh
32,67,423,Spoiled
32,60,345,Fresh
31,61,376,Fresh
30,60,562,Spoiled
30,61,543,Spoiled
30,65,578,Spoiled
39,61,419,Spoiled
38,62,426,Spoiled
30,62,389,Fresh
30,63,455,Spoiled
30,60,489,Spoiled
31,61,410,Spoiled
38,60,432,Spoiled
30,62,368,Fresh
29,61,333,Fresh
27,60,315,Fresh
26,62,388,Fresh
25,63,337,Fresh
29,61,310,Fresh
30,60,368,Fresh
30,76,411,Spoiled
33,68,430,Spoiled
31,61,422,Spoiled
32,60,444,Spoiled
